school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year,X,EML
John Poole MS,390,55.1,44.9,≤5.0,6.7,6.2,13.1,≤5.0,68.7,5.1,≤5.0,12.8,13.1,Middle School,2019-2020,,
Thomas W. Pyle MS,1534,52.0,48.0,≤5.0,14.0,≤5.0,10.6,≤5.0,64.3,7.7,≤5.0,≤5.0,8.6,Middle School,2019-2020,,
Redland MS,635,51.3,48.7,≤5.0,11.2,22.5,39.7,≤5.0,20.0,6.0,14.0,42.4,10.6,Middle School,2019-2020,,
Ridgeview MS,784,51.3,48.7,≤5.0,11.6,15.8,30.5,≤5.0,37.8,≤5.0,9.8,30.1,10.7,Middle School,2019-2020,,
Rocky Hill MS,883,49.3,50.7,≤5.0,29.6,24.9,17.4,≤5.0,21.1,6.5,≤5.0,20.0,10.0,Middle School,2019-2020,,
Shady Grove MS,575,49.7,50.3,≤5.0,12.2,20.7,41.4,≤5.0,21.6,≤5.0,16.7,43.1,16.3,Middle School,2019-2020,,
Silver Creek MS,887,48.4,51.6,≤5.0,6.3,21.4,19.5,≤5.0,47.7,5.1,8.9,24.1,8.9,Middle School,2019-2020,,
Silver Spring International MS,1153,50.8,49.2,≤5.0,5.4,21.7,42.7,≤5.0,25.5,≤5.0,16.3,40.2,15.1,Middle School,2019-2020,,
Sligo MS,722,53.9,46.1,≤5.0,7.5,18.6,42.7,≤5.0,27.4,≤5.0,16.3,42.8,12.0,Middle School,2019-2020,,
Takoma Park MS,1162,53.9,46.1,≤5.0,14.5,34.0,17.0,≤5.0,29.3,≤5.0,7.7,26.5,7.5,Middle School,2019-2020,,
Tilden MS,989,51.2,48.8,≤5.0,16.8,12.6,21.5,≤5.0,43.9,≤5.0,10.2,14.6,14.4,Middle School,2019-2020,,
Hallie Wells MS,873,52.3,47.7,≤5.0,35.2,20.4,13.3,≤5.0,24.3,6.8,≤5.0,16.6,8.0,Middle School,2019-2020,,
Julius West MS,1382,53.1,46.9,≤5.0,18.1,16.5,27.3,≤5.0,32.1,5.5,9.8,28.1,11.0,Middle School,2019-2020,,
Westland MS,808,47.6,52.4,≤5.0,7.4,8.2,18.2,≤5.0,59.0,6.9,5.8,7.8,12.0,Middle School,2019-2020,,
White Oak MS,845,52.1,47.9,≤5.0,8.0,31.2,53.8,≤5.0,≤5.0,≤5.0,21.9,64.5,7.9,Middle School,2019-2020,,
Earle B. Wood MS,994,52.1,47.9,≤5.0,11.2,12.7,45.9,≤5.0,25.1,5.1,13.7,38.3,16.6,Middle School,2019-2020,,
Bethesda-Chevy Chase HS,2257,51.6,48.4,≤5.0,5.4,14.3,17.2,≤5.0,57.6,5.3,7.0,10.8,7.0,High School,2019-2020,,
Montgomery Blair HS,3223,53.5,46.5,≤5.0,14.0,24.2,33.7,≤5.0,23.9,≤5.0,17.7,33.3,7.7,High School,2019-2020,,
James Hubert Blake HS,1795,45.7,54.3,≤5.0,10.3,41.1,28.9,≤5.0,15.9,≤5.0,≤5.0,34.5,9.6,High School,2019-2020,,
Winston Churchill HS,2274,53.0,47.0,≤5.0,30.2,9.3,7.8,≤5.0,46.7,5.6,≤5.0,≤5.0,10.0,High School,2019-2020,,
Clarksburg HS,2472,48.9,51.1,≤5.0,21.8,30.1,26.4,≤5.0,17.2,≤5.0,7.0,26.5,9.3,High School,2019-2020,,
Damascus HS,1353,49.4,50.6,≤5.0,10.3,13.1,23.3,≤5.0,47.9,5.1,≤5.0,14.8,13.3,High School,2019-2020,,
Thomas Edison HS of Technology,804,64.3,35.7,≤5.0,6.1,17.8,63.3,≤5.0,10.8,≤5.0,26.6,44.9,16.2,High School,2019-2020,,
Albert Einstein HS,1818,47.7,52.3,≤5.0,7.6,17.7,48.5,≤5.0,22.4,≤5.0,19.5,36.4,11.3,High School,2019-2020,,
Gaithersburg HS,2397,53.0,47.0,≤5.0,6.9,21.9,55.4,≤5.0,12.8,≤5.0,25.5,42.5,13.0,High School,2019-2020,,
Walter Johnson HS,2747,52.9,47.1,≤5.0,13.8,10.6,17.1,≤5.0,52.1,6.0,5.4,7.7,11.2,High School,2019-2020,,
John F. Kennedy HS,1817,49.3,50.7,≤5.0,6.8,24.9,61.4,≤5.0,5.3,≤5.0,26.6,47.6,12.9,High School,2019-2020,,
Col. Zadok Magruder HS,1697,52.2,47.8,≤5.0,12.4,17.8,39.5,≤5.0,25.7,≤5.0,11.8,32.7,12.6,High School,2019-2020,,
Richard Montgomery HS,2505,49.1,50.9,≤5.0,24.6,17.2,23.6,≤5.0,29.1,5.4,8.7,19.9,6.5,High School,2019-2020,,
Northwest HS,2623,49.7,50.3,≤5.0,21.3,24.6,23.1,≤5.0,26.1,≤5.0,≤5.0,22.3,8.3,High School,2019-2020,,
Northwood HS,1805,48.3,51.7,≤5.0,≤5.0,24.9,53.5,≤5.0,13.7,≤5.0,23.4,47.6,8.9,High School,2019-2020,,
Paint Branch HS,1996,50.8,49.2,≤5.0,12.0,59.5,21.0,≤5.0,≤5.0,≤5.0,≤5.0,32.9,11.1,High School,2019-2020,,
Poolesville HS,1205,49.8,50.2,≤5.0,32.9,5.6,7.8,≤5.0,48.2,5.1,≤5.0,6.6,5.6,High School,2019-2020,,
Quince Orchard HS,2148,51.0,49.0,≤5.0,12.9,16.3,28.3,≤5.0,38.1,≤5.0,10.5,23.8,9.5,High School,2019-2020,,
Rockville HS,1440,54.6,45.4,≤5.0,10.8,13.5,41.2,≤5.0,30.3,≤5.0,13.9,26.6,16.1,High School,2019-2020,,
Seneca Valley HS,1226,50.9,49.1,≤5.0,10.0,36.3,35.3,≤5.0,14.3,≤5.0,13.6,40.0,12.6,High School,2019-2020,,
Sherwood HS,1964,51.2,48.8,≤5.0,11.4,15.9,18.9,≤5.0,48.7,≤5.0,12.9,13.8,7.1,High School,2019-2020,,
Springbrook HS,1746,57.4,42.6,≤5.0,12.4,38.1,40.5,≤5.0,6.1,≤5.0,19.0,48.5,8.6,High School,2019-2020,,
Watkins Mill HS,1590,53.0,47.0,≤5.0,8.6,26.7,54.7,≤5.0,6.7,≤5.0,24.8,51.3,12.8,High School,2019-2020,,
Wheaton HS,2179,60.0,40.0,≤5.0,11.2,19.9,57.3,≤5.0,9.3,≤5.0,22.3,48.0,8.6,High School,2019-2020,,
Walt Whitman HS,2039,50.4,49.6,≤5.0,13.9,≤5.0,8.8,≤5.0,67.0,6.2,≤5.0,≤5.0,8.3,High School,2019-2020,,
Thomas S. Wootton HS,2116,49.9,50.1,≤5.0,37.2,8.3,8.0,≤5.0,41.6,≤5.0,≤5.0,5.2,6.8,High School,2019-2020,,
Arcola ES,703,51.2,48.8,≤5.0,5.4,19.1,69.0,≤5.0,≤5.0,≤5.0,43.0,78.0,8.0,Elementary School,2020-2021,,
Ashburton ES,900,50.4,49.4,≤5.0,17.7,15.9,18.0,≤5.0,38.1,9.7,13.7,11.9,7.6,Elementary School,2020-2021,,
Bannockburn ES,401,50.9,49.1,≤5.0,12.5,≤5.0,10.0,≤5.0,64.1,8.5,≤5.0,≤5.0,9.2,Elementary School,2020-2021,,
Lucy V. Barnsley ES,701,54.9,45.1,≤5.0,12.6,12.7,35.1,≤5.0,30.5,8.1,14.1,33.7,12.6,Elementary School,2020-2021,,
Beall ES,516,50.6,49.4,≤5.0,14.3,15.9,22.1,≤5.0,39.5,7.9,12.8,30.6,13.4,Elementary School,2020-2021,,
Bel Pre ES,549,52.6,47.4,≤5.0,5.6,30.4,52.8,≤5.0,7.1,≤5.0,37.9,67.0,7.5,Elementary School,2020-2021,,
Bells Mill ES,579,53.0,47.0,≤5.0,29.5,12.8,9.7,≤5.0,40.2,7.4,10.0,11.2,7.3,Elementary School,2020-2021,,
Belmont ES,340,49.4,50.6,≤5.0,7.6,10.6,13.2,≤5.0,62.1,6.5,≤5.0,9.4,9.1,Elementary School,2020-2021,,
Bethesda ES,619,53.6,46.4,≤5.0,17.4,9.2,17.0,≤5.0,47.8,8.6,16.2,12.0,11.6,Elementary School,2020-2021,,
Beverly Farms ES,570,52.6,47.4,≤5.0,33.5,8.2,7.5,≤5.0,42.6,7.7,10.2,6.3,8.4,Elementary School,2020-2021,,
Bradley Hills ES,497,52.7,47.3,≤5.0,16.5,≤5.0,8.9,≤5.0,62.2,9.9,≤5.0,≤5.0,6.4,Elementary School,2020-2021,,
Brooke Grove ES,450,54.2,45.8,≤5.0,14.0,28.2,14.7,≤5.0,36.0,6.9,11.1,24.9,23.3,Elementary School,2020-2021,,
Brookhaven ES,421,52.3,47.7,≤5.0,8.3,28.5,50.4,≤5.0,8.1,≤5.0,31.1,69.1,23.3,Elementary School,2020-2021,,
Brown Station ES,612,50.8,49.2,≤5.0,12.9,22.9,52.6,≤5.0,7.8,≤5.0,32.2,69.1,16.7,Elementary School,2020-2021,,
Burning Tree ES,420,51.9,48.1,≤5.0,22.6,8.8,8.3,≤5.0,54.8,5.2,11.2,6.4,20.5,Elementary School,2020-2021,,
Burnt Mills ES,607,47.3,52.7,≤5.0,7.4,56.2,22.7,≤5.0,7.7,5.6,16.8,64.6,8.7,Elementary School,2020-2021,,
Burtonsville ES,608,52.1,47.9,≤5.0,11.7,61.2,19.4,≤5.0,5.1,≤5.0,12.7,46.9,6.9,Elementary School,2020-2021,,
Candlewood ES,398,55.8,44.2,≤5.0,18.1,15.1,17.3,≤5.0,41.5,7.5,18.1,21.6,9.8,Elementary School,2020-2021,,
Cannon Road ES,421,58.0,42.0,≤5.0,10.9,32.5,48.2,≤5.0,≤5.0,≤5.0,13.3,57.7,18.8,Elementary School,2020-2021,,
Carderock Springs ES,319,54.5,45.5,≤5.0,15.7,≤5.0,14.4,≤5.0,54.9,10.3,7.2,≤5.0,11.9,Elementary School,2020-2021,,
Rachel Carson ES,792,52.4,47.6,≤5.0,18.8,6.9,21.2,≤5.0,45.8,7.2,14.1,20.2,9.1,Elementary School,2020-2021,,
Cashell ES,313,49.2,50.8,≤5.0,7.0,16.3,22.0,≤5.0,40.9,13.7,8.3,25.2,16.3,Elementary School,2020-2021,,
Cedar Grove ES,379,47.2,52.8,≤5.0,41.2,17.2,13.2,≤5.0,23.0,≤5.0,9.8,13.5,13.2,Elementary School,2020-2021,,
Chevy Chase ES,441,49.2,50.8,≤5.0,9.1,19.0,9.5,≤5.0,55.1,7.3,8.6,19.7,7.3,Elementary School,2020-2021,,
Clarksburg ES,690,53.0,47.0,≤5.0,35.1,27.5,16.7,≤5.0,13.0,7.4,18.7,20.3,7.8,Elementary School,2020-2021,,
Clearspring ES,562,52.0,48.0,≤5.0,14.6,21.0,23.5,≤5.0,34.3,5.9,9.6,35.2,15.8,Elementary School,2020-2021,,
Clopper Mill ES,478,52.3,47.7,≤5.0,9.2,33.7,45.0,≤5.0,7.3,≤5.0,23.6,69.0,12.6,Elementary School,2020-2021,,
Cloverly ES,476,54.6,45.4,≤5.0,14.9,26.5,27.1,≤5.0,24.4,6.9,15.1,24.2,20.8,Elementary School,2020-2021,,
Cold Spring ES,317,56.5,43.5,≤5.0,40.4,≤5.0,≤5.0,≤5.0,43.8,7.9,≤5.0,≤5.0,7.9,Elementary School,2020-2021,,
College Gardens ES,582,51.5,48.5,≤5.0,20.3,24.4,20.1,≤5.0,27.5,7.2,13.4,23.9,11.7,Elementary School,2020-2021,,
Cresthaven ES,491,59.3,40.7,≤5.0,7.5,37.7,51.3,≤5.0,≤5.0,≤5.0,46.0,75.6,18.3,Elementary School,2020-2021,,
Capt. James E. Daly ES,578,52.9,47.1,≤5.0,6.6,32.2,53.3,≤5.0,≤5.0,≤5.0,42.9,79.6,8.1,Elementary School,2020-2021,,
Damascus ES,354,51.7,48.3,≤5.0,5.6,7.1,40.4,≤5.0,40.4,5.9,20.6,30.8,20.6,Elementary School,2020-2021,,
Darnestown ES,301,52.2,47.8,≤5.0,12.6,8.6,7.0,≤5.0,64.8,7.0,6.3,6.0,17.6,Elementary School,2020-2021,,
Diamond ES,780,54.1,45.9,≤5.0,50.9,8.3,10.1,≤5.0,25.6,≤5.0,19.6,6.5,12.3,Elementary School,2020-2021,,
Dr. Charles R. Drew ES,468,51.3,48.7,≤5.0,13.2,45.1,23.1,≤5.0,13.2,≤5.0,17.1,53.6,14.1,Elementary School,2020-2021,,
DuFief ES,305,55.7,44.3,≤5.0,30.5,15.1,14.8,≤5.0,28.2,11.1,19.3,14.1,33.1,Elementary School,2020-2021,,
East Silver Spring ES,481,55.1,44.7,≤5.0,≤5.0,52.4,21.4,≤5.0,17.9,≤5.0,19.8,54.7,15.2,Elementary School,2020-2021,,
Fairland ES,585,52.5,47.5,≤5.0,5.8,60.0,25.8,≤5.0,≤5.0,≤5.0,16.1,67.5,14.4,Elementary School,2020-2021,,
Fallsmead ES,520,51.0,49.0,≤5.0,36.7,13.3,9.2,≤5.0,35.0,≤5.0,12.1,10.8,9.8,Elementary School,2020-2021,,
Farmland ES,773,53.7,46.3,≤5.0,32.9,9.8,10.9,≤5.0,42.2,≤5.0,20.8,9.7,11.4,Elementary School,2020-2021,,
Fields Road ES,458,54.6,45.4,≤5.0,14.2,18.6,33.6,≤5.0,26.6,6.8,17.7,40.4,14.0,Elementary School,2020-2021,,
Flower Hill ES,441,53.1,46.9,≤5.0,12.5,24.3,50.3,≤5.0,7.0,5.9,35.4,62.6,12.2,Elementary School,2020-2021,,
Flower Valley ES,470,55.3,44.7,≤5.0,9.1,18.5,26.2,≤5.0,36.6,9.4,16.4,29.1,14.9,Elementary School,2020-2021,,
Forest Knolls ES,543,48.3,51.7,≤5.0,≤5.0,14.2,40.3,≤5.0,31.7,8.3,14.0,32.2,13.4,Elementary School,2020-2021,,
Fox Chapel ES,589,50.9,49.1,≤5.0,15.6,23.3,45.2,≤5.0,10.7,≤5.0,26.5,54.3,10.5,Elementary School,2020-2021,,
Gaithersburg ES,825,51.0,49.0,≤5.0,≤5.0,13.3,79.5,≤5.0,≤5.0,≤5.0,46.9,85.7,10.5,Elementary School,2020-2021,,
Galway ES,750,52.5,47.5,≤5.0,9.5,59.6,25.9,≤5.0,≤5.0,≤5.0,26.0,63.1,12.5,Elementary School,2020-2021,,
Garrett Park ES,729,53.6,46.4,≤5.0,15.6,14.4,23.0,≤5.0,38.0,8.5,22.5,19.8,7.5,Elementary School,2020-2021,,
Georgian Forest ES,568,54.0,46.0,≤5.0,≤5.0,24.6,63.4,≤5.0,6.2,≤5.0,42.1,76.9,7.4,Elementary School,2020-2021,,
Germantown ES,301,55.5,44.5,≤5.0,16.6,36.5,24.9,≤5.0,15.6,5.3,13.0,40.9,27.6,Elementary School,2020-2021,,
"William B. Gibbs, Jr. ES",551,54.3,45.7,≤5.0,27.4,28.1,20.5,≤5.0,17.4,6.5,14.3,31.4,16.9,Elementary School,2020-2021,,
Glen Haven ES,480,48.3,51.3,≤5.0,6.5,22.5,49.4,≤5.0,16.5,≤5.0,32.7,58.1,16.5,Elementary School,2020-2021,,
Glenallan ES,707,52.9,47.1,≤5.0,12.3,31.0,43.1,≤5.0,10.2,≤5.0,24.5,58.4,11.2,Elementary School,2020-2021,,
Goshen ES,522,51.3,48.7,≤5.0,12.1,23.6,45.2,≤5.0,14.8,≤5.0,24.7,49.0,13.8,Elementary School,2020-2021,,
Great Seneca Creek ES,538,50.2,49.8,≤5.0,11.9,36.1,27.0,≤5.0,19.1,5.2,20.8,41.4,9.5,Elementary School,2020-2021,,
Greencastle ES,743,52.2,47.6,≤5.0,6.7,67.6,19.9,≤5.0,≤5.0,≤5.0,15.2,70.5,17.2,Elementary School,2020-2021,,
Greenwood ES,501,52.5,47.5,≤5.0,7.4,10.8,14.0,≤5.0,60.1,7.6,≤5.0,8.6,7.8,Elementary School,2020-2021,,
Harmony Hills ES,690,48.7,51.3,≤5.0,≤5.0,13.0,78.3,≤5.0,≤5.0,≤5.0,51.4,83.9,7.1,Elementary School,2020-2021,,
Highland ES,530,53.8,46.2,≤5.0,5.5,9.4,75.7,≤5.0,7.2,≤5.0,43.0,78.5,9.2,Elementary School,2020-2021,,
Highland View ES,382,51.3,48.7,≤5.0,≤5.0,31.2,29.8,≤5.0,31.4,5.5,30.6,48.4,8.9,Elementary School,2020-2021,,
Jackson Road ES,696,52.7,47.3,≤5.0,6.5,49.9,37.5,≤5.0,≤5.0,≤5.0,29.6,76.3,14.8,Elementary School,2020-2021,,
Jones Lane ES,402,49.3,50.7,≤5.0,9.7,7.7,33.1,≤5.0,42.0,7.2,21.1,31.3,5.2,Elementary School,2020-2021,,
Kemp Mill ES,458,49.6,50.4,≤5.0,≤5.0,13.3,78.8,≤5.0,≤5.0,≤5.0,50.9,85.8,6.6,Elementary School,2020-2021,,
Kensington Parkwood ES,596,52.0,48.0,≤5.0,9.4,8.7,13.9,≤5.0,58.1,9.9,8.1,11.7,11.1,Elementary School,2020-2021,,
Lake Seneca ES,461,50.1,49.9,≤5.0,5.2,36.0,41.9,≤5.0,11.1,5.6,28.4,67.2,16.3,Elementary School,2020-2021,,
Lakewood ES,415,52.0,48.0,≤5.0,49.9,11.1,10.8,≤5.0,21.2,6.3,11.1,10.4,14.0,Elementary School,2020-2021,,
Laytonsville ES,369,49.9,50.1,≤5.0,7.9,18.2,28.7,≤5.0,37.4,7.3,9.8,22.0,15.2,Elementary School,2020-2021,,
JoAnn Leleck ES,821,51.4,48.6,≤5.0,≤5.0,11.7,84.9,≤5.0,≤5.0,≤5.0,67.0,91.5,5.5,Elementary School,2020-2021,,
Little Bennett ES,639,55.1,44.9,≤5.0,28.5,25.2,17.5,≤5.0,21.0,6.9,13.9,22.1,21.9,Elementary School,2020-2021,,
Luxmanor ES,656,54.3,45.7,≤5.0,25.9,16.5,21.8,≤5.0,29.4,6.4,27.6,22.9,14.3,Elementary School,2020-2021,,
Thurgood Marshall ES,556,52.7,47.3,≤5.0,15.5,21.2,29.9,≤5.0,29.3,≤5.0,18.5,39.2,17.3,Elementary School,2020-2021,,
Maryvale ES,571,46.4,53.6,≤5.0,9.8,26.3,32.6,≤5.0,23.1,8.2,22.6,45.9,13.1,Elementary School,2020-2021,,
Spark M. Matsunaga ES,663,53.5,46.5,≤5.0,40.9,21.1,15.7,≤5.0,16.3,5.6,9.5,23.5,9.8,Elementary School,2020-2021,,
S. Christa McAuliffe ES,565,52.7,47.3,≤5.0,8.0,36.6,36.1,≤5.0,12.4,6.2,25.7,56.6,12.2,Elementary School,2020-2021,,
Ronald McNair ES,800,53.9,46.1,≤5.0,27.6,29.4,18.5,≤5.0,17.0,7.5,14.3,29.8,10.1,Elementary School,2020-2021,,
Meadow Hall ES,406,52.0,48.0,≤5.0,6.9,12.8,56.7,≤5.0,18.5,≤5.0,30.8,58.1,18.2,Elementary School,2020-2021,,
Mill Creek Towne ES,482,54.6,45.4,≤5.0,14.9,17.2,42.5,≤5.0,17.8,6.8,23.4,40.5,17.0,Elementary School,2020-2021,,
Monocacy ES,136,52.9,47.1,≤5.0,5.9,≤5.0,15.4,≤5.0,69.9,5.1,9.6,22.8,15.4,Elementary School,2020-2021,,
Montgomery Knolls ES,490,49.4,50.6,≤5.0,5.1,25.9,43.9,≤5.0,19.2,5.9,33.3,54.5,16.3,Elementary School,2020-2021,,
New Hampshire Estates ES,448,51.3,48.7,≤5.0,≤5.0,17.0,75.4,≤5.0,≤5.0,≤5.0,57.4,92.4,8.0,Elementary School,2020-2021,,
Roscoe R. Nix ES,481,50.7,49.3,≤5.0,7.3,36.4,49.7,≤5.0,≤5.0,≤5.0,44.5,72.1,10.6,Elementary School,2020-2021,,
North Chevy Chase ES,225,52.4,47.6,≤5.0,8.4,20.0,13.8,≤5.0,50.2,7.6,6.7,24.4,10.2,Elementary School,2020-2021,,
Oak View ES,419,52.3,47.7,≤5.0,≤5.0,12.6,64.4,≤5.0,16.0,≤5.0,39.6,73.3,6.9,Elementary School,2020-2021,,
Oakland Terrace ES,512,49.6,50.4,≤5.0,≤5.0,15.6,35.5,≤5.0,35.7,8.2,14.6,32.2,18.0,Elementary School,2020-2021,,
Olney ES,634,52.4,47.6,≤5.0,14.2,14.5,15.5,≤5.0,49.2,6.3,10.9,16.9,10.7,Elementary School,2020-2021,,
William Tyler Page ES,622,49.0,50.8,≤5.0,10.3,45.2,25.4,≤5.0,13.7,5.1,10.3,41.2,7.4,Elementary School,2020-2021,,
Pine Crest ES,446,51.6,48.2,≤5.0,7.2,23.5,38.1,≤5.0,25.1,6.1,27.8,49.1,11.0,Elementary School,2020-2021,,
Piney Branch ES,626,52.1,47.9,≤5.0,≤5.0,31.5,17.9,≤5.0,39.9,6.7,17.1,33.4,11.7,Elementary School,2020-2021,,
Poolesville ES,474,51.5,48.5,≤5.0,9.5,7.8,15.0,≤5.0,59.1,8.4,5.3,15.6,8.9,Elementary School,2020-2021,,
Potomac ES,393,51.9,48.1,≤5.0,28.8,10.4,9.7,≤5.0,38.9,12.0,5.3,≤5.0,≤5.0,Elementary School,2020-2021,,
Judith A. Resnik ES,591,50.3,49.7,≤5.0,11.0,27.4,41.6,≤5.0,13.7,5.8,24.5,57.4,12.4,Elementary School,2020-2021,,
Dr. Sally K. Ride ES,475,54.3,45.7,≤5.0,12.2,35.4,37.9,≤5.0,8.6,5.7,25.7,58.9,24.0,Elementary School,2020-2021,,
Ritchie Park ES,384,43.0,57.0,≤5.0,15.6,14.6,13.8,≤5.0,48.7,6.8,7.0,12.5,7.6,Elementary School,2020-2021,,
Rock Creek Forest ES,734,49.7,50.3,≤5.0,7.2,18.9,35.1,≤5.0,32.3,6.1,18.9,30.9,12.9,Elementary School,2020-2021,,
Rock Creek Valley ES,422,53.3,46.7,≤5.0,15.2,8.3,40.5,≤5.0,30.3,5.7,19.9,30.3,23.5,Elementary School,2020-2021,,
Rock View ES,625,56.5,43.5,≤5.0,9.3,13.6,49.1,≤5.0,21.3,5.9,29.0,50.4,25.0,Elementary School,2020-2021,,
Lois P. Rockwell ES,460,55.0,45.0,≤5.0,11.1,13.5,26.5,≤5.0,41.1,7.2,12.4,25.7,23.0,Elementary School,2020-2021,,
Rolling Terrace ES,727,51.0,49.0,≤5.0,≤5.0,15.3,73.7,≤5.0,6.1,≤5.0,54.1,81.7,8.4,Elementary School,2020-2021,,
Rosemary Hills ES,516,51.2,48.8,≤5.0,5.4,29.1,16.9,≤5.0,41.5,7.0,14.7,31.6,12.6,Elementary School,2020-2021,,
Rosemont ES,602,49.8,50.2,≤5.0,8.8,30.9,46.2,≤5.0,7.5,5.6,34.9,63.5,12.8,Elementary School,2020-2021,,
Bayard Rustin ES,686,50.1,49.9,≤5.0,25.5,9.3,29.2,≤5.0,26.5,8.9,21.0,32.2,12.8,Elementary School,2020-2021,,
Sequoyah ES,368,48.9,51.1,≤5.0,10.9,13.3,46.7,≤5.0,22.8,6.3,34.2,50.3,13.0,Elementary School,2020-2021,,
Seven Locks ES,390,48.2,51.8,≤5.0,27.4,9.5,9.5,≤5.0,47.7,5.9,5.4,≤5.0,9.2,Elementary School,2020-2021,,
Sherwood ES,467,53.5,46.5,≤5.0,10.9,21.0,18.4,≤5.0,39.4,9.9,7.7,17.8,18.6,Elementary School,2020-2021,,
Sargent Shriver ES,736,50.4,49.6,≤5.0,5.7,10.7,78.3,≤5.0,≤5.0,≤5.0,51.2,82.9,8.7,Elementary School,2020-2021,,
Flora M. Singer ES,613,55.3,44.7,≤5.0,6.9,14.0,37.5,≤5.0,34.3,7.0,30.0,45.2,19.7,Elementary School,2020-2021,,
Sligo Creek ES,658,50.5,49.5,≤5.0,≤5.0,25.7,10.3,≤5.0,52.4,7.3,10.0,11.1,9.4,Elementary School,2020-2021,,
Snowden Farm ES,757,54.0,46.0,≤5.0,47.4,21.5,10.2,≤5.0,15.6,≤5.0,7.7,13.9,9.0,Elementary School,2020-2021,,
Somerset ES,500,47.8,52.2,≤5.0,11.4,8.6,13.8,≤5.0,58.0,8.0,19.4,12.0,8.2,Elementary School,2020-2021,,
South Lake ES,790,53.8,46.2,≤5.0,5.7,18.6,71.4,≤5.0,≤5.0,≤5.0,53.8,89.7,8.6,Elementary School,2020-2021,,
Stedwick ES,516,46.3,53.7,≤5.0,6.2,29.1,51.0,≤5.0,8.7,≤5.0,34.5,61.4,15.7,Elementary School,2020-2021,,
Stone Mill ES,521,50.7,49.3,≤5.0,47.0,14.2,8.3,≤5.0,24.8,5.8,14.6,10.6,14.6,Elementary School,2020-2021,,
Stonegate ES,494,52.2,47.8,≤5.0,16.4,36.6,22.5,≤5.0,16.2,7.9,11.7,28.5,14.8,Elementary School,2020-2021,,
Strathmore ES,491,54.2,45.8,≤5.0,5.1,35.4,49.3,≤5.0,7.7,≤5.0,36.5,70.1,11.8,Elementary School,2020-2021,,
Strawberry Knoll ES,594,53.4,46.6,≤5.0,10.9,27.4,44.6,≤5.0,10.9,5.9,19.9,50.2,16.0,Elementary School,2020-2021,,
Summit Hall ES,683,53.4,46.6,≤5.0,≤5.0,18.3,73.5,≤5.0,≤5.0,≤5.0,48.8,84.9,12.0,Elementary School,2020-2021,,
Takoma Park ES,617,50.6,49.4,≤5.0,≤5.0,30.8,16.4,≤5.0,41.3,7.9,21.6,31.8,5.5,Elementary School,2020-2021,,
Travilah ES,323,53.3,46.7,≤5.0,47.4,9.0,11.8,≤5.0,27.2,≤5.0,11.8,9.3,10.5,Elementary School,2020-2021,,
Twinbrook ES,508,48.8,51.2,≤5.0,10.8,9.3,63.8,≤5.0,12.0,≤5.0,46.3,71.7,9.8,Elementary School,2020-2021,,
Viers Mill ES,501,50.1,49.9,≤5.0,8.0,8.8,70.3,≤5.0,8.6,≤5.0,40.9,73.1,21.0,Elementary School,2020-2021,,
Washington Grove ES,403,50.6,49.4,≤5.0,≤5.0,20.6,62.8,≤5.0,6.9,≤5.0,43.2,67.7,18.4,Elementary School,2020-2021,,
Waters Landing ES,673,49.5,50.5,≤5.0,5.3,40.9,39.4,≤5.0,10.7,≤5.0,24.1,62.0,17.2,Elementary School,2020-2021,,
Watkins Mill ES,749,55.9,44.1,≤5.0,6.4,24.3,61.8,≤5.0,≤5.0,≤5.0,49.1,77.0,17.1,Elementary School,2020-2021,,
Wayside ES,459,50.8,49.2,≤5.0,46.8,7.0,5.7,≤5.0,34.9,5.7,6.8,6.1,11.3,Elementary School,2020-2021,,
Weller Road ES,677,51.6,48.4,≤5.0,≤5.0,5.9,83.8,≤5.0,≤5.0,≤5.0,52.1,83.8,10.3,Elementary School,2020-2021,,
Westbrook ES,331,48.0,52.0,≤5.0,5.4,≤5.0,14.5,≤5.0,70.7,6.0,≤5.0,≤5.0,13.3,Elementary School,2020-2021,,
Westover ES,281,51.2,48.8,≤5.0,10.0,37.4,24.6,≤5.0,20.3,7.5,10.0,25.3,23.5,Elementary School,2020-2021,,
Wheaton Woods ES,494,54.7,45.3,≤5.0,7.1,25.7,61.1,≤5.0,≤5.0,≤5.0,48.2,84.4,14.0,Elementary School,2020-2021,,
Whetstone ES,693,50.2,49.8,≤5.0,8.9,25.0,55.8,≤5.0,6.6,≤5.0,38.5,73.2,15.6,Elementary School,2020-2021,,
Wilson Wims ES,624,52.2,47.8,≤5.0,40.4,19.1,13.9,≤5.0,22.0,≤5.0,≤5.0,12.7,10.1,Elementary School,2020-2021,,
Wood Acres ES,583,49.1,50.9,≤5.0,9.6,≤5.0,12.3,≤5.0,68.1,7.0,6.3,≤5.0,12.2,Elementary School,2020-2021,,
Woodfield ES,317,55.8,44.2,≤5.0,6.9,10.7,25.6,≤5.0,50.5,6.3,9.1,19.9,20.8,Elementary School,2020-2021,,
Woodlin ES,511,51.1,48.9,≤5.0,8.4,25.4,20.0,≤5.0,38.7,7.4,20.7,31.3,18.0,Elementary School,2020-2021,,
