school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,Spec. Ed.,level,Year
Bayard Rustin ES,686,50.1,49.9,≤5.0,25.5,9.3,29.2,≤5.0,26.5,8.9,21.0,32.2,12.8,Elementary School,2021-2022
Sequoyah ES,368,48.9,51.1,≤5.0,10.9,13.3,46.7,≤5.0,22.8,6.3,34.2,50.3,13.0,Elementary School,2021-2022
Seven Locks ES,390,48.2,51.8,≤5.0,27.4,9.5,9.5,≤5.0,47.7,5.9,5.4,≤5.0,9.2,Elementary School,2021-2022
School Name,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,Spec. Ed.,,2021-2022
Sherwood ES,467,53.5,46.5,≤5.0,10.9,21.0,18.4,≤5.0,39.4,9.9,7.7,17.8,18.6,Elementary School,2021-2022
Sargent Shriver ES,736,50.4,49.6,≤5.0,5.7,10.7,78.3,≤5.0,≤5.0,≤5.0,51.2,82.9,8.7,Elementary School,2021-2022
Flora M. Singer ES,613,55.3,44.7,≤5.0,6.9,14.0,37.5,≤5.0,34.3,7.0,30.0,45.2,19.7,Elementary School,2021-2022
Sligo Creek ES,658,50.5,49.5,≤5.0,≤5.0,25.7,10.3,≤5.0,52.4,7.3,10.0,11.1,9.4,Elementary School,2021-2022
Snowden Farm ES,757,54.0,46.0,≤5.0,47.4,21.5,10.2,≤5.0,15.6,≤5.0,7.7,13.9,9.0,Elementary School,2021-2022
Somerset ES,500,47.8,52.2,≤5.0,11.4,8.6,13.8,≤5.0,58.0,8.0,19.4,12.0,8.2,Elementary School,2021-2022
South Lake ES,790,53.8,46.2,≤5.0,5.7,18.6,71.4,≤5.0,≤5.0,≤5.0,53.8,89.7,8.6,Elementary School,2021-2022
Stedwick ES,516,46.3,53.7,≤5.0,6.2,29.1,51.0,≤5.0,8.7,≤5.0,34.5,61.4,15.7,Elementary School,2021-2022
Stone Mill ES,521,50.7,49.3,≤5.0,47.0,14.2,8.3,≤5.0,24.8,5.8,14.6,10.6,14.6,Elementary School,2021-2022
Stonegate ES,494,52.2,47.8,≤5.0,16.4,36.6,22.5,≤5.0,16.2,7.9,11.7,28.5,14.8,Elementary School,2021-2022
Strathmore ES,491,54.2,45.8,≤5.0,5.1,35.4,49.3,≤5.0,7.7,≤5.0,36.5,70.1,11.8,Elementary School,2021-2022
Strawberry Knoll ES,594,53.4,46.6,≤5.0,10.9,27.4,44.6,≤5.0,10.9,5.9,19.9,50.2,16.0,Elementary School,2021-2022
Summit Hall ES,683,53.4,46.6,≤5.0,≤5.0,18.3,73.5,≤5.0,≤5.0,≤5.0,48.8,84.9,12.0,Elementary School,2021-2022
Takoma Park ES,617,50.6,49.4,≤5.0,≤5.0,30.8,16.4,≤5.0,41.3,7.9,21.6,31.8,5.5,Elementary School,2021-2022
Travilah ES,323,53.3,46.7,≤5.0,47.4,9.0,11.8,≤5.0,27.2,≤5.0,11.8,9.3,10.5,Elementary School,2021-2022
Twinbrook ES,508,48.8,51.2,≤5.0,10.8,9.3,63.8,≤5.0,12.0,≤5.0,46.3,71.7,9.8,Elementary School,2021-2022
Viers Mill ES,501,50.1,49.9,≤5.0,8.0,8.8,70.3,≤5.0,8.6,≤5.0,40.9,73.1,21.0,Elementary School,2021-2022
Washington Grove ES,403,50.6,49.4,≤5.0,≤5.0,20.6,62.8,≤5.0,6.9,≤5.0,43.2,67.7,18.4,Elementary School,2021-2022
Waters Landing ES,673,49.5,50.5,≤5.0,5.3,40.9,39.4,≤5.0,10.7,≤5.0,24.1,62.0,17.2,Elementary School,2021-2022
Watkins Mill ES,749,55.9,44.1,≤5.0,6.4,24.3,61.8,≤5.0,≤5.0,≤5.0,49.1,77.0,17.1,Elementary School,2021-2022
Wayside ES,459,50.8,49.2,≤5.0,46.8,7.0,5.7,≤5.0,34.9,5.7,6.8,6.1,11.3,Elementary School,2021-2022
Weller Road ES,677,51.6,48.4,≤5.0,≤5.0,5.9,83.8,≤5.0,≤5.0,≤5.0,52.1,83.8,10.3,Elementary School,2021-2022
Westbrook ES,331,48.0,52.0,≤5.0,5.4,≤5.0,14.5,≤5.0,70.7,6.0,≤5.0,≤5.0,13.3,Elementary School,2021-2022
Westover ES,281,51.2,48.8,≤5.0,10.0,37.4,24.6,≤5.0,20.3,7.5,10.0,25.3,23.5,Elementary School,2021-2022
Wheaton Woods ES,494,54.7,45.3,≤5.0,7.1,25.7,61.1,≤5.0,≤5.0,≤5.0,48.2,84.4,14.0,Elementary School,2021-2022
Whetstone ES,693,50.2,49.8,≤5.0,8.9,25.0,55.8,≤5.0,6.6,≤5.0,38.5,73.2,15.6,Elementary School,2021-2022
Wilson Wims ES,624,52.2,47.8,≤5.0,40.4,19.1,13.9,≤5.0,22.0,≤5.0,≤5.0,12.7,10.1,Elementary School,2021-2022
Wood Acres ES,583,49.1,50.9,≤5.0,9.6,≤5.0,12.3,≤5.0,68.1,7.0,6.3,≤5.0,12.2,Elementary School,2021-2022
Woodfield ES,317,55.8,44.2,≤5.0,6.9,10.7,25.6,≤5.0,50.5,6.3,9.1,19.9,20.8,Elementary School,2021-2022
Woodlin ES,511,51.1,48.9,≤5.0,8.4,25.4,20.0,≤5.0,38.7,7.4,20.7,31.3,18.0,Elementary School,2021-2022
Wyngate ES,673,52.7,47.3,≤5.0,14.1,≤5.0,13.2,≤5.0,60.0,8.3,7.1,≤5.0,5.8,Elementary School,2021-2022
Argyle MS,1043,59.5,40.5,≤5.0,7.5,23.9,57.4,≤5.0,7.6,≤5.0,18.4,66.9,9.2,Middle School,2021-2022
John T. Baker MS,797,50.6,49.3,≤5.0,6.1,12.8,28.5,≤5.0,46.3,6.3,≤5.0,28.9,13.4,Middle School,2021-2022
Benjamin Banneker MS,864,54.7,45.3,≤5.0,9.3,65.4,20.3,≤5.0,≤5.0,≤5.0,6.8,57.1,15.9,Middle School,2021-2022
Briggs Chaney MS,978,52.1,47.9,≤5.0,10.4,53.3,25.3,≤5.0,6.5,≤5.0,7.3,55.2,11.0,Middle School,2021-2022
Cabin John MS,1077,50.0,50.0,≤5.0,33.1,12.7,9.7,≤5.0,38.4,5.9,≤5.0,8.3,12.4,Middle School,2021-2022
Roberto W. Clemente MS,1040,55.0,44.8,≤5.0,19.5,29.2,34.5,≤5.0,11.5,≤5.0,11.6,45.9,13.8,Middle School,2021-2022
Eastern MS,966,50.8,49.0,≤5.0,7.1,19.2,49.5,≤5.0,20.4,≤5.0,21.9,58.9,11.4,Middle School,2021-2022
William H. Farquhar MS,671,52.2,47.8,≤5.0,14.9,25.5,17.6,≤5.0,35.9,6.0,≤5.0,21.3,17.0,Middle School,2021-2022
Forest Oak MS,920,53.4,46.6,≤5.0,6.6,23.0,58.0,≤5.0,9.2,≤5.0,20.4,63.3,13.6,Middle School,2021-2022
Robert Frost MS,1017,49.8,50.2,≤5.0,39.2,10.3,8.0,≤5.0,36.9,5.3,≤5.0,8.2,5.9,Middle School,2021-2022
Gaithersburg MS,868,53.1,46.7,≤5.0,6.6,20.2,53.3,≤5.0,13.1,6.7,21.3,55.9,18.5,Middle School,2021-2022
Herbert Hoover MS,1021,53.5,46.5,≤5.0,39.1,7.9,7.4,≤5.0,39.2,6.2,≤5.0,6.2,8.8,Middle School,2021-2022
Francis Scott Key MS,966,50.8,49.2,≤5.0,8.4,41.8,44.8,≤5.0,≤5.0,≤5.0,13.6,70.8,7.7,Middle School,2021-2022
"Dr. Martin Luther King, Jr. MS",888,47.3,52.7,≤5.0,13.5,35.9,31.9,≤5.0,13.0,5.6,8.1,49.1,12.2,Middle School,2021-2022
Kingsview MS,1048,50.0,50.0,≤5.0,26.3,26.7,17.8,≤5.0,22.1,6.4,6.0,27.7,8.0,Middle School,2021-2022
Lakelands Park MS,1182,51.4,48.6,≤5.0,17.8,15.3,25.5,≤5.0,34.6,6.8,9.2,27.8,12.4,Middle School,2021-2022
Col. E. Brooke Lee MS,795,52.8,47.2,≤5.0,5.5,25.3,61.9,≤5.0,5.2,≤5.0,22.4,71.3,12.6,Middle School,2021-2022
A. Mario Loiederman MS,996,35.0,65.0,≤5.0,≤5.0,15.1,62.4,≤5.0,15.0,≤5.0,21.9,63.9,11.3,Middle School,2021-2022
Montgomery Village MS,776,53.7,46.3,≤5.0,7.2,28.4,56.4,≤5.0,5.2,≤5.0,19.3,73.7,17.0,Middle School,2021-2022
Neelsville MS,842,51.7,48.3,≤5.0,11.6,27.9,49.9,≤5.0,6.4,≤5.0,21.7,65.9,8.8,Middle School,2021-2022
Newport Mill MS,670,55.5,44.5,≤5.0,7.9,13.3,59.9,≤5.0,14.2,≤5.0,23.0,63.0,19.7,Middle School,2021-2022
North Bethesda MS,1198,52.2,47.8,≤5.0,12.5,10.5,13.5,≤5.0,54.2,8.9,≤5.0,9.7,8.2,Middle School,2021-2022
Parkland MS,1158,54.3,45.6,≤5.0,13.0,23.5,52.2,≤5.0,8.6,≤5.0,15.9,60.1,8.9,Middle School,2021-2022
Rosa M. Parks MS,864,49.5,50.5,≤5.0,9.8,15.6,14.0,≤5.0,53.8,6.7,≤5.0,14.4,10.6,Middle School,2021-2022
John Poole MS,381,53.5,46.5,≤5.0,5.2,5.5,13.6,≤5.0,66.7,8.9,≤5.0,12.6,9.7,Middle School,2021-2022
Thomas W. Pyle MS,1433,51.9,48.1,≤5.0,14.9,≤5.0,10.4,≤5.0,65.0,6.8,≤5.0,≤5.0,7.7,Middle School,2021-2022
Redland MS,646,50.0,50.0,≤5.0,9.8,22.0,43.5,≤5.0,19.5,≤5.0,15.2,48.0,12.2,Middle School,2021-2022
Ridgeview MS,792,49.7,50.3,≤5.0,11.2,14.6,33.0,≤5.0,36.4,≤5.0,10.2,35.7,9.8,Middle School,2021-2022
Rocky Hill MS,986,50.7,49.3,≤5.0,21.9,28.0,28.9,≤5.0,15.6,5.2,8.8,39.8,12.4,Middle School,2021-2022
Shady Grove MS,578,50.5,49.5,≤5.0,11.4,22.5,41.7,≤5.0,19.9,≤5.0,14.5,51.4,14.5,Middle School,2021-2022
Silver Creek MS,838,50.8,49.2,≤5.0,6.3,22.8,18.4,≤5.0,47.1,5.4,8.7,26.5,7.8,Middle School,2021-2022
Silver Spring International MS,1160,49.3,50.7,≤5.0,≤5.0,22.4,43.1,≤5.0,25.8,≤5.0,15.0,44.1,11.8,Middle School,2021-2022
Sligo MS,738,51.4,48.6,≤5.0,6.9,21.0,42.0,≤5.0,26.0,≤5.0,17.5,49.1,13.3,Middle School,2021-2022
Takoma Park MS,1158,52.4,47.6,≤5.0,13.9,34.0,16.3,≤5.0,29.8,5.8,6.3,29.9,7.3,Middle School,2021-2022
Tilden MS,1022,51.8,48.2,≤5.0,16.9,13.8,22.2,≤5.0,41.4,5.4,9.8,16.9,12.7,Middle School,2021-2022
Hallie Wells MS,930,52.9,47.1,≤5.0,37.1,21.6,14.2,≤5.0,20.6,6.3,≤5.0,17.3,9.4,Middle School,2021-2022
Julius West MS,1375,52.0,48.0,≤5.0,17.2,16.1,28.4,≤5.0,32.1,5.6,9.5,32.1,10.3,Middle School,2021-2022
Westland MS,764,49.0,51.0,≤5.0,8.2,7.9,18.3,≤5.0,56.8,8.1,5.8,9.8,12.3,Middle School,2021-2022
White Oak MS,860,50.7,49.3,≤5.0,9.7,29.7,53.7,≤5.0,≤5.0,≤5.0,19.7,71.5,10.0,Middle School,2021-2022
Earle B. Wood MS,998,52.9,47.1,≤5.0,11.2,13.0,44.5,≤5.0,25.4,5.6,13.0,45.5,16.2,Middle School,2021-2022
