school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED,Level,Year
Gaithersburg HS,2035,51.9,48.1,≤5.0,9.9,25.5,39.7,≤5.0,21.0,≤5.0,10.1,41.7,14.8,High School,2012-2013
Walter Johnson HS,2244,51.9,48.1,≤5.0,13.6,7.7,17.2,≤5.0,56.2,≤5.0,≤5.0,7.8,11.7,High School,2012-2013
John F. Kennedy HS,1594,51.4,48.6,≤5.0,9.2,37.8,45.4,≤5.0,5.5,≤5.0,8.1,52.0,14.4,High School,2012-2013
Col. Zadok Magruder HS,1700,51.6,48.4,≤5.0,15.1,19.8,31.1,≤5.0,30.4,≤5.0,≤5.0,32.8,9.7,High School,2012-2013
Richard Montgomery HS,2124,48.4,51.6,≤5.0,25.3,15.1,22.6,≤5.0,31.4,5.5,6.3,20.6,7.7,High School,2012-2013
Northwest HS,2062,50.3,49.7,≤5.0,18.4,26.7,20.0,≤5.0,29.9,≤5.0,≤5.0,26.2,11.3,High School,2012-2013
Northwood HS,1488,50.9,49.1,≤5.0,6.4,27.9,45.7,≤5.0,17.1,≤5.0,9.7,44.8,16.1,High School,2012-2013
Paint Branch HS,1922,51.2,48.8,≤5.0,15.6,52.8,15.9,≤5.0,11.6,≤5.0,≤5.0,34.0,9.8,High School,2012-2013
Poolesville HS,1235,49.3,50.7,≤5.0,23.4,5.4,7.5,≤5.0,57.8,5.6,≤5.0,6.0,5.9,High School,2012-2013
Quince Orchard HS,1832,51.1,48.9,≤5.0,13.1,15.1,22.2,≤5.0,45.6,≤5.0,5.2,21.9,11.2,High School,2012-2013
Rockville HS,1269,50.0,50.0,≤5.0,10.6,14.8,32.1,≤5.0,38.6,≤5.0,5.7,30.0,16.3,High School,2012-2013
Seneca Valley HS,1306,52.2,47.8,≤5.0,10.5,33.4,27.6,≤5.0,23.9,≤5.0,8.5,34.7,16.1,High School,2012-2013
Sherwood HS,2027,50.0,50.0,≤5.0,11.1,16.1,12.7,≤5.0,56.5,≤5.0,8.1,14.6,9.8,High School,2012-2013
Springbrook HS,1723,57.1,42.9,≤5.0,12.4,41.3,34.1,≤5.0,9.1,≤5.0,7.0,44.1,11.9,High School,2012-2013
Watkins Mill HS,1424,51.2,48.8,≤5.0,10.1,37.8,34.6,≤5.0,14.0,≤5.0,7.7,50.4,13.2,High School,2012-2013
Wheaton HS,1226,56.8,43.2,≤5.0,9.5,23.4,56.5,≤5.0,8.0,≤5.0,18.2,57.9,13.2,High School,2012-2013
Walt Whitman HS,1909,51.7,48.3,≤5.0,12.3,≤5.0,8.8,≤5.0,70.1,5.1,≤5.0,≤5.0,11.9,High School,2012-2013
Thomas S. Wootton HS,2297,50.5,49.5,≤5.0,34.0,5.6,6.7,≤5.0,48.5,≤5.0,≤5.0,5.5,7.5,High School,2012-2013
